,Accuracy,Precision,Recall,F1-Score
0,0.729989327633618,0.729989327633618,0.9999999999853801,0.8439234991212574
1,0.8537886872907813,0.9823633156793233,0.8143274853682115,0.8904876049415688
2,0.9071504802464552,0.9656786271300206,0.9049707602206876,0.9343396176326721
3,0.9391675560198595,0.9563318777153372,0.9605263157754309,0.9584245026446859
4,0.9530416221883347,0.9651162790557396,0.9707602339039363,0.9679300241404517
5,0.9509071504701077,0.9789789789642795,0.9532163742550699,0.9659259209125047
6,0.9551760939065617,0.9720588235151167,0.9663742689917196,0.9692082061295267
7,0.9498399146109943,0.9467040673079004,0.9868421052487304,0.9663564731558217
8,0.9541088580474482,0.9819548872032788,0.9546783625591421,0.9681245316804858
9,0.9455709711745404,0.9832061068552183,0.9415204678224924,0.9619118695212117
10,0.9573105656247886,0.9653179190611948,0.976608187120225,0.9709302275441962
11,0.9541088580474482,0.9819548872032788,0.9546783625591421,0.9681245316804858
